,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family
0,0,3,male,-0.8575111649413711,1,0,-1.05893823511296,S,Third,man,True,Southampton,no,False,1
1,1,1,female,0.6864051971488218,1,0,1.4318938820037672,C,First,woman,False,Cherbourg,yes,False,1
2,1,3,female,-0.38560465195745286,0,0,-0.9619264593562706,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,0.45409304356281976,1,0,1.1109743776269605,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,0.45409304356281976,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
5,0,3,male,-0.009837837889073225,0,0,-0.8909545692601645,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,1.6790594730496204,0,0,1.0852767001556516,S,First,man,True,Southampton,no,True,0
8,1,3,female,-0.27899303205504183,0,2,-0.5914955173483273,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,-2.1343115741996135,1,0,0.4913098706867367,C,Second,child,False,Cherbourg,yes,False,1
11,1,1,female,1.880921945207971,0,0,0.35560708817197745,S,First,woman,False,Southampton,yes,True,0
12,0,3,male,-1.1267502840806507,0,0,-0.9448718915295101,S,Third,man,True,Southampton,no,True,0
13,0,3,male,0.7597826379718933,1,5,0.5340988855822495,S,Third,man,True,Southampton,no,False,6
14,0,3,female,-2.1343115741996135,0,0,-0.971705897410643,S,Third,child,False,Southampton,no,True,0
15,1,2,female,1.7308934528210618,0,0,-0.19629443489639747,S,Second,woman,False,Southampton,yes,True,0
17,1,2,male,-0.009837837889073225,0,0,-0.4225724730325312,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,0.11126407917622454,1,0,-0.06793864714628411,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,-0.009837837889073225,0,0,-1.0627025381392528,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,0.45409304356281976,0,0,0.33279481642245184,S,Second,man,True,Southampton,no,True,0
21,1,2,male,0.3722069437800388,0,0,-0.4225724730325312,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,-1.9394154992559647,0,0,-0.9476913249849847,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,-0.17625906909495204,0,0,0.6721869303225285,S,First,man,True,Southampton,yes,True,0
25,1,3,female,0.6864051971488218,1,5,0.5380118687542358,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,-0.009837837889073225,0,0,-1.0627025381392528,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,-0.009837837889073225,0,0,-0.968242674077764,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,-0.009837837889073225,0,0,-0.9659491590548142,S,Third,man,True,Southampton,no,True,0
30,0,1,male,0.8313022210240106,0,0,0.4026340137327415,C,First,man,True,Cherbourg,no,True,0
31,1,1,female,-0.009837837889073225,1,0,2.217075103976706,C,First,woman,False,Cherbourg,yes,False,1
32,1,3,female,-0.009837837889073225,0,0,-0.9862603332214835,Q,Third,woman,False,Queenstown,yes,True,0
33,0,2,male,2.2459286300926347,0,0,-0.6553179761010235,S,Second,man,True,Southampton,no,True,0
34,0,1,male,-0.17625906909495204,1,0,1.5867907718524545,C,First,man,True,Cherbourg,no,False,1
